committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
WFP NATIONAL PAC,2022,COMMUNITY LABOR ADMINISTRATIVE SERVICES,NY,PHONE CALLS,2022-05-10T00:00:00Z,800,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,ESTIMATED EXPENSES FOR CANVASSING,2022-01-30T00:00:00Z,5865.01,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,TEXAS TOOLBELT,TX,DOOR TO DOOR CANVASSING,2022-02-28T00:00:00Z,59000,S,"CISNEROS, JESSICA",H,DEM
IN UNION USA,2022,"DELIVER STRATEGIES, LLC",VA,DIRECT MAIL PROGRAM,2022-02-18T00:00:00Z,14814.86,O,"CUELLAR, HENRY",H,DEM
TEXANS FOR TRUE CONSERVATIVES,2022,POLITICAL MEDIA GROUP,VA,DIRECT MAIL,2022-02-02T00:00:00Z,935.07,O,"CABRERA, ED",H,REP
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-05-14T00:00:00Z,25000,S,"GARCIA, CASSY",H,NA
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,"TEXAS TOOLBELT, LLC",TX,CANVASSING (ESTIMATE),2022-04-11T00:00:00Z,8744.19,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,ALAMO MAILING,TX,POSTAGE,2022-02-22T00:00:00Z,739.21,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,2053.1,S,"CISNEROS, JESSICA",H,DEM
WFP NATIONAL PAC,2022,TEXAS TOOLBELT,TX,IN PERSON CANVASSING - IN KIND CONTRIBUTION TO COMMUNICATIONS WORKERS OF AMERICA - WORKING VOICES,2022-02-05T00:00:00Z,90000,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,999.6,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,WATERFRONT STRATEGIES INC,DC,MEDIA PLACEMENT,2022-05-10T00:00:00Z,51299.5,S,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,JETBLUE,NY,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,201.1,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-22T00:00:00Z,18.5,S,"CISNEROS, JESSICA",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-28T00:00:00Z,12179.57,S,"CISNEROS, JESSICA",H,DEM
